index,title,link,research_goal,empirical,seeds,code_available,environment_spec,hyperparams_spec,year,conference,conf_id,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,algorithm_0,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
0,Genie: Generative Interactive Environments,https://openreview.net/forum?id=bJbSbJskOS,generative environments,Yes,1-5,False,not full version,in appendix,24,icml,icml_24,generative environments,,,,,,,,,BC,,,,,,
1,Environment Design for Inverse Reinforcement Learning,https://openreview.net/forum?id=Ar0dsOMStE,adapting the environment for more stable inverse RL,Yes,1-5,True,no,no,24,icml,icml_24,environment design,inverse rl,,,,,,,,BC,PPO,,,,,
2,Towards Optimal Adversarial Robust Q-learning with Bellman Infinity-error,https://openreview.net/forum?id=pgI9inG2Ny,adapting the environment for more stable inverse RL,Yes,1-5,True,no,yes,24,icml,icml_24,robust rl,inverse rl,,,,,,,,DQN,,,,,,
3,Self-Composing Policies for Scalable Continual Reinforcement Learning,https://openreview.net/forum?id=f5gtX2VWSB,modular policies for continual RL,Yes,6-10,True,yes,in appendix,24,icml,icml_24,continual rl,architectures,,,,,,,,SAC,PPO,,,,,
4,Rate-Optimal Policy Optimization for Linear Markov Decision Processes,https://openreview.net/forum?id=VJwsDwuiuH,solving linear MDPs,No,0,False,-,-,24,icml,icml_24,linear mdps,policy optimization,,,,,,,,-,,,,,,
5,Stop Regressing: Training Value Functions via Classification for Scalable Deep RL,https://openreview.net/forum?id=dVpFKfqF3R,improving q-learning,Yes,1-5,False,no,in appendix,24,icml,icml_24,reinforcement learning,q-learning,deep rl,,,,,,,C51,DQN,,,,,
6,Offline Actor-Critic Reinforcement Learning Scales to Large Models,https://openreview.net/forum?id=tl2qmO5kpD,using larger models for offline RL,No,0,False,no,in appendix,24,icml,icml_24,offline rl,architectures,,,,,,,,BC,,,,,,
7,ACE: Off-Policy Actor-Critic with Causality-Aware Entropy Regularization,https://openreview.net/forum?id=tl2qmO5kpD,better regularization in SAC (less need for hyperparameter tuning),Yes,6-10,True,no,partial in appendix,24,icml,icml_24,reinforcement learning,exploration,,,,,,,,SAC,TD3,,,,,
8,OMPO: A Unified Framework for RL under Policy and Dynamics Shifts,https://openreview.net/forum?id=R83VIZtHXA,solving RL under dynamic shifts,Yes,6-10,True,yes,in appendix,24,icml,icml_24,reinforcement learning,dynamics shifts,policy shifts,,,,,,,SAC,TD3,,,,,
9,Pausing Policy Learning in Non-stationary Reinforcement Learning,https://openreview.net/forum?id=qY622O6Ehg,strategic non-updating in RL for better results,Yes,0,False,no,partial in appendix,24,icml,icml_24,reinforcement learning,,,,,,,,,SAC,Q-learning,,,,,
10,Is DPO Superior to PPO for LLM Alignment? A Comprehensive Study,https://openreview.net/forum?id=6XH8R7YrSk,fine-tuning LLMs,Yes,0,False,yes,in appendix,24,icml,icml_24,rlhf,rl for llms,,,,,,,,PPO,,,,,,
0,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,https://openreview.net/forum?id=6XH8R7YrSk,pre-training RL policies,Yes,1-5,False,no,in appendix,24,iclr,iclr_24,reinforcement learning,pre-training,goal-conditioned RL,open-world environments,,,,,,PPO,SAC,,,,,
1,Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning,https://openreview.net/forum?id=LjivA1SLZ6,shared memory in multi-agent RL,Yes,1-5,True,yes,partial in appendix,24,iclr,iclr_24,Multi-agent reinforcement learning,episodic control,episodic incentive,state embedding,,,,,,EMU,QPLEX,CDS,EMC,QMIX,,
2,Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning,https://openreview.net/forum?id=sFyTZEqmUY,generating environments,Yes,1-5,False,not accessible,in appendix,24,iclr,iclr_24,Generative simulator,simulating real-world interactions,planning,reinforcement learning,vision language models,video generation,,,,BC,Reinforce,,,,,
3,METRA: Scalable Unsupervised RL with Metric-Aware Abstraction,https://openreview.net/forum?id=c5pwL0Soay,improving unsupervised RL,Yes,6-10,True,no,partial in appendix,24,iclr,iclr_24,reinforcement learning,,,,,,,,,PPO,,,,,,
4,Learning Energy Decompositions for Partial Inference in GFlowNets,https://openreview.net/forum?id=P15CHILQlg,providing credit assignment for GFlowNet,Yes,1-5,False,no,partial in appendix,24,iclr,iclr_24,Generative flow networks,reinforcement learning,generative models,,,,,,,PPO,,,,,,
5,Predictive auxiliary objectives in deep RL mimic learning in the brain,https://openreview.net/forum?id=agPpmEgf8C,providing credit assignment for GFlowNet,other,over 10,False,no,partial in appendix,24,iclr,iclr_24,hippocampus,neuroscience,cognitive science,deep reinforcement learning,representation learning,prediction,,,,DQN,,,,,,
6,Mastering Memory Tasks with World Models,https://openreview.net/forum?id=1vDArHJ68h,memory for MBRL models via SSMs,Yes,6-10,True,no,partial in appendix,24,iclr,iclr_24,model-based reinforcement learning,state space models,memory in reinforcement learning,,,,,,,Dreamer,,,,,,
7,ASID: Active Exploration for System Identification in Robotic Manipulation,https://openreview.net/forum?id=jNR6s6OSBT,targeted data collection for few shot adaption,Yes,1-5,True,no,no,24,iclr,iclr_24,sim2real,system identification,exploration,,,,,,,PPO,,,,,,
8,Robust agents learn causal world models,https://openreview.net/forum?id=pOoKI3ouv1,showing world models are necessary for robust generalization,other,over 10,False,-,-,24,iclr,iclr_24,causality,generalisation,causal discovery,domain adaptation,out-of-distribution generalization,,,,,-,,,,,,
0,Minimax Regret for Cascading Bandits,https://openreview.net/forum?id=EgMbj9yWrMI,Optimal bias-variance tradeoff in offline RL as opposed to manual tuning,other,0,False,-,-,22,neurips,neurips_22,online learning-to-rank,cascading bandits,linear stochastic bandits,,,,,,,-,,,,,,
