index,filename,code_available,hyperparameters_detailed,env_version_specified,year,conference,conf_id,seeds,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,algorithm_0,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
0,Learning Robust Rewards with Adverserial Inverse Reinforcement Learning.pdf,False,True,False,2018,iclr,iclr_2018,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,trpo,ppo,,,,,
1,Divide-and-Conquer Reinforcement Learning.pdf,False,False,False,2018,iclr,iclr_2018,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,dqn,,,,
2,MaskGAN Better Text Generation via Filling in the _______.pdf,True,True,False,2018,iclr,iclr_2018,over 10,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,pets,ppo,,,,,
3,Towards Synthesizing Complex Programs From Input-Output Examples.pdf,False,True,False,2018,iclr,iclr_2018,0,our\s+(?:reinforcement\s+learning|RL)\s+(?:approach|method|algorithm),policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,,,,,,
4,META LEARNING SHARED HIERARCHIES.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,trpo,a3c,ppo,dqn,,,
5,Deep Bayesian Bandits Showdown  An Empirical Comparison of Bayesian Deep Networks for Thompson Sampl.pdf,True,True,False,2018,iclr,iclr_2018,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,dqn,sac,,,,,
6,A Hierarchical Model for Device Placement.pdf,False,False,False,2018,iclr,iclr_2018,6-10,using\s+(?:deep\s+)?reinforcement\s+learning\s+to,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,ppo,,,,,,
7,Eigenoption Discovery through the Deep Successor Representation.pdf,False,False,False,2018,iclr,iclr_2018,over 10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
8,Noisy Networks For Exploration.pdf,False,True,False,2018,iclr,iclr_2018,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,a3c,dqn,a2c,,,,
9,Certifying Some Distributional Robustness with Principled Adversarial Training.pdf,False,False,False,2018,iclr,iclr_2018,over 10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,ppo,dqn,,,,,
10,Policy Optimization by Genetic Distillation.pdf,True,True,False,2018,iclr,iclr_2018,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,trpo,dqn,a2c,sac,ppo,,
